Python_Function,Description,Unit Test Cases
def valid_mountain_array(arr): n = len(arr); if n < 3: return False; i = 1; while i < n and arr[i] > arr[i - 1]: i += 1; if i == 1 or i == n: return False; while i < n and arr[i] < arr[i - 1]: i += 1; return i == n,"""Checks if an array is a valid mountain array.",
    # Add test cases for sum,,
>>> filter_data(value),,
Extended Description:,,
------------------,,
---------------------,,
# number of columns in the given image,,
        if max_ending_at_i > 0:,,
>>> print_diamond(value),,
Brief Description:,,
Extended Description:,,
"    unittest.main()""",,
def count_even_numbers(lst): return sum(1 for x in lst if x % 2 == 0),"""Counts even numbers in a list.",
Parameters:,,
-----------,,
"    assert modified_encode(...) == expected_output""",,
"""""""""""""""","""import unittest",
    return x,"y    ""","""This function 'max_Product' performs a specific operation."
            return nums[i],,
        result = relative_order(value),,
    # Add test cases for neg_nos,,
Extended Description:,,
    Description of what the function returns.,,
    while temp:,,
This function, `eliminate_non_celebrities`, takes 1 parameters: matrix. It is designed to perform a certain task using these parameters.
Parameters:,,
    def test_basic(self):,,
        result = count_k_dist(value, value),
The function 'count_X' takes the following parameters: tup," x. It performs operations based on the parameters provided.""","""def test_count_X():"
"""def is_valid_email(email): import re return bool(re.match(r'^[\w\.-]+@[\w\.-]+\.\w+$'"," email))""","""Checks if an email address is valid."
        # Test with edge case values (e.g., empty inputs, extreme values)
"""def tuple_int_str(tuple_str):",,
power function performs a specific operation as described below.,,
    Description of j.,,
Brief Description:,,
This function returns True if the input string s can be rearranged into a palindrome," and False otherwise. A string can form a palindrome if it has at most one character with an odd frequency.""","def test_rearrange_bars_to_make_palindrome(): assert rearrange_bars_to_make_palindrome(""civic"") assert rearrange_bars_to_make_palindrome(""ivicc"") assert not rearrange_bars_to_make_palindrome(""hello"")"
if __name__ == '__main__':,,
        # Test with example values,,
"    unittest.main()""",,
---------------------,,
        expected = 'Expected output for edge case',,
value = input('Enter the values of the {} item(s) in order: ',,
nums : type,,
"This function returns a new list with the elements in the input list lst in reverse order.""",def test_nth_fibonacci_recursive(): assert nth_fibonacci_recursive(0) == 0 assert nth_fibonacci_recursive(1) == 1 assert nth_fibonacci_recursive(5) == 5,
        result = reverse(value),,
"This function returns the total number of consonant characters in the input string s.""","def test_count_consonants(): assert count_consonants(""hello"") == 3 assert count_consonants(""world"") == 4 assert count_consonants(""AEIOU"") == 0",
            sum += i ,,
  for row in range(rownum):,,
def min_coins(coins, m, V): 
word : type,,
    if not lst:,,
"    unittest.main()""",,
Example Usage:,,
"    assert count(...) == expected_output""",,
    return 1,,
"""def babylonian_squareroot(number):",,
insert_elemnt_nth function performs a specific operation as described below.,,
        result = rgb_to_hex(value, value, value)
        # Test with edge case values (e.g., empty inputs, extreme values)
Expected output,,
  r = n%m,,
        return(1),,
------------------,,
"    assert max_len_sub(...) == expected_output""",,
"""""""""""""""","""import unittest",
"""""""""""""""","""import unittest",
"""def cube_nums(nums):",,
    # Add test cases,,
        result.append('Valid string.'),,
>>> lcw(value, value),
"""def rotate_array(nums"," k): k %= len(nums); nums[:] = nums[-k:] + nums[:-k]""","""Rotates an array to the right by k steps."
        # Test with edge case values (e.g., empty inputs, extreme values)
"""def digitize(n):  return list(map(int"," str(n)))print(digitize(123))print(digitize(1347823)) """,""""""""""""""""
	dp = [0] * N ,,
    def test_edge_cases(self):,,
--------,,
def sum_of_odd_numbers(lst): return sum(x for x in lst if x % 2 != 0),"""Sums the odd numbers in a list.",
    pset = set(),,
Returns:,,
def merge_sorted_list(num1,num2,num3):
>>> difference(value, value),
        self.assertEqual(result, expected),
>>> extract_index_ele(value, value, value)
    Description of n.,,
    def test_edge_cases(self):,,
Extended Description:,,
"  str1="""" """".join(a)",,
        expected = 'Expected output for edge case',,
    i = 2; ,,
        expected = 'Expected output for edge case',,
if __name__ == '__main__':,,
        # Test with edge case values (e.g., empty inputs, extreme values)
Parameters:,,
    def test_basic(self):,,
Example Usage:,,
        self.assertEqual(result, expected),
    def test_edge_cases(self):,,
            high -= 1; ,,
    def test_edge_cases(self):,,
-----------,,
Expected output,,
-----------,,
 flag = -1,,
"    assert frequency_Of_Smallest(...) == expected_output""",,
if not is_alphabet_printed:,,
        self.assertEqual(result, expected),
def to_lowercase(s): return s.lower(),"""Converts a string to lowercase.",
"    unittest.main()""",,
Brief Description:,,
Returns:,,
"""def bitwise_and_of_range(m"," n): shift = 0; while m != n: m >>= 1; n >>= 1; shift += 1; return m << shift""","""Finds the bitwise AND of all numbers in a given range."
    Description of what the function returns.,,
        result = lcw(None, None),
>>> fibonacci_nums(value),,
list2 : type,,
Example Usage:,,
Brief Description:,,
x : type,,
        expected = 'Expected output for edge case',,
        p *= i,,
        expected = 'Expected output',,
class TestCheck_automorphicnumber(unittest.TestCase):,,
  for index,c in enumerate(str1):,
"""def modify(string):  ",,
"     return False""","""This function 'check_isosceles' performs a specific operation.",
Expected output,,
"""import math",,
    return round(n1/n,"2)""","""This function 'zero_count' performs a specific operation."
"""def remove_duplicates_from_string(s): return ''.join(sorted(set(s)"," key=s.index))""","""Removes duplicate characters from a string."
        expected = 'Expected output',,
def nth_centered_pentagonal_number(n): return (5 * n ** 2 + 5 * n + 2) // 2,"""Computes the nth centered pentagonal number.",
# which will be used to find its blurred pixel,,
"    person who is maybe a celebrity.""""""""""""",,
Return type,,
"This function calculates the factorial of n by multiplying all integers from 1 to n using an iterative approach.""",def test_factorial_iterative(): assert factorial_iterative(5) == 120 assert factorial_iterative(0) == 1 assert factorial_iterative(1) == 1,
>>> chars_mix_up(value, value),
        expected = 'Expected output',,
---------------------,,
        expected = 'Expected output',,
"""import sys ",,
    Description of l1.,,
    # Add test cases for merge,,
"""def count_occurrences(lst"," value): return lst.count(value)""","""Counts occurrences of a value in a list."
            if (i*i+j*j == n) : ,,
print('The maximum subarray starts at index {}, ends at index {}',
Example Usage:,,
Returns:,,
      for b in range( RADIX ):,,
	n = len(str) ,,
Parameters:,,
---------------------,,
    Description of key.,,
def rotate_matrix_90_clockwise(matrix): return [list(reversed(col)) for col in zip(*matrix)],"""Rotates a matrix 90 degrees clockwise.",
Parameters:,,
--------,,
nums1 : type,,
        return end + 1,,
    Description of what the function returns.,,
        # Test with edge case values (e.g., empty inputs, extreme values)
    while div >= 2:,,
------------------,,
--------------,,
------------------,,
    def test_edge_cases(self):,,
        result = collatz(value),,
"    pass""",,
  neg_count= 0,,
			j = i * 2 ,,
    result = [],,
"""def file_size(fname):        import os        statinfo = os.stat(fname)        return statinfo.st_sizeprint(""""File size in bytes of a plain file: """"","file_size(""""test.txt""""))""",""""""""""""""""
Extended Description:,,
        # Test with edge case values (e.g., empty inputs, extreme values)
class TestGaps(unittest.TestCase):,,
if __name__ == '__main__':,,
"""from collections import defaultdict ",,
"""def decode_list(alist):",,
        # Test with edge case values (e.g., empty inputs, extreme values)
        self.assertEqual(result, expected),
            count += 1,,
"    assert find_dissimilar(...) == expected_output""",,
Returns:,,
"""def check(string",ch):,
    def test_edge_cases(self):,,
is_alphabet_printed = False,,
"""def remove_Occ(s",ch): ,
Return type,,
class TestPrintvalues(unittest.TestCase):,,
    Description of lr.,,
